amq01 10.16.156.123 
amq02 10.16.156.124 
acs01 10.16.157.70
acs02 10.16.157.71
eig01 10.16.156.125
eig02 10.16.156.126 
eig03 10.16.156.129 
eig04 10.16.156.130
ids01 10.16.156.61 
ids02 10.16.156.66
app01 10.16.156.36
app02 10.16.156.37
app03 10.16.156.74
app04 10.16.156.75
app05 10.16.156.76
app06 10.16.156.77
app08 10.16.156.138
app09 10.16.156.160
app10 10.16.156.187 
app11 10.16.156.188
app12 10.16.156.189
app13 10.16.156.190
app14 10.16.156.191
app15 10.16.156.192
web01 10.16.156.78
web02 10.16.156.79
web03 10.16.156.80
web04 10.16.156.81
web05 10.16.156.82
web06 10.16.156.83
web08 10.16.156.183
web09 10.16.156.184
web10 10.16.156.185
web11 10.16.156.186
scanop01  10.115.74.162
rest01 10.30.24.51 
rest02 10.30.24.52 
